,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,12,PF,1604180847,75,-9.8,-139.03,78.80000000000001,7.68
1,Mariehamn,90,AX,1604180847,93,60.1,19.93,50.26999999999996,6.2
2,Ushuaia,90,AR,1604180769,93,-54.8,-68.3,50.26999999999996,4.1
3,Bredasdorp,0,ZA,1604180847,82,-34.53,20.04,57.469999999999956,2.1
4,Kapaa,40,US,1604180847,66,22.08,-159.32,84.46999999999997,5.7
5,Nivala,97,FI,1604180847,97,63.92,24.97,33.27799999999996,1.34
6,Qaanaaq,74,GL,1604180848,83,77.48,-69.36,7.843999999999969,2.8
7,Shimoda,67,JP,1604180848,64,34.67,138.95,58.67599999999999,3.58
8,Hong Kong,92,HK,1604180646,78,22.29,114.16,73.27400000000002,0.45
9,Hobart,75,AU,1604180842,76,-42.88,147.33,60.27799999999996,3.1
10,Rikitea,0,PF,1604180791,67,-23.12,-134.97,75.93800000000005,2.51
11,Taltal,60,CL,1604180848,57,-25.4,-70.48,63.68000000000004,1.53
12,Waipawa,3,NZ,1604180849,59,-41.41,175.52,63.266000000000005,7.7
13,Yangi Marg`ilon,29,UZ,1604180849,41,40.43,71.72,39.469999999999956,3.1
14,Touros,40,BR,1604180748,83,-5.2,-35.46,79.06999999999996,3.6
15,Hilo,1,US,1604180597,55,19.73,-155.09,88.06999999999996,2.6
16,Muroto-misakicho,75,JP,1604180849,76,33.28,134.15,57.469999999999956,5.7
17,Mar del Plata,0,AR,1604180700,55,-38.0,-57.56,64.66999999999996,4.1
18,Sisimiut,100,GL,1604180799,95,66.94,-53.67,20.89399999999997,3.45
19,Hervey Bay,0,AU,1604180644,78,-25.3,152.85,82.27400000000002,4.1
20,Castro,85,BR,1604180850,84,-24.79,-50.01,56.93000000000004,3.53
21,Bariloche,0,AR,1604180769,33,-41.15,-71.31,72.10399999999996,1.59
22,Subang,66,ID,1604180850,94,-7.13,108.53,71.49199999999999,0.08
23,Tasiilaq,100,GL,1604180850,74,65.61,-37.64,35.86999999999996,1.0
24,Busselton,100,AU,1604180850,81,-33.65,115.33,60.27799999999996,0.63
25,Camopi,44,GF,1604180850,57,3.17,-52.32,85.35199999999998,2.75
26,Airai,41,TL,1604180850,62,-8.93,125.41,62.096000000000046,1.02
27,Matata,25,NZ,1604180850,64,-37.88,176.75,68.26999999999995,4.47
28,Bluff,97,NZ,1604180672,77,-46.6,168.33,55.274000000000015,7.15
29,Iqaluit,75,CA,1604180851,72,63.75,-68.51,17.86999999999996,3.1
30,Ancud,0,CL,1604180851,52,-41.87,-73.82,66.46999999999997,2.6
31,Vaini,75,TO,1604180851,88,-21.2,-175.2,75.46999999999997,4.6
32,Vanimo,49,PG,1604180851,74,-2.67,141.3,81.57200000000003,2.81
33,Padilla,75,CO,1604180851,61,3.22,-76.31,79.06999999999996,1.0
34,New Norfolk,21,AU,1604180851,57,-42.78,147.06,60.27799999999996,0.69
35,Stephenville,1,US,1604180852,23,32.22,-98.2,77.26999999999995,3.6
36,Acarí,25,PE,1604180852,55,-15.43,-74.62,73.09399999999997,3.06
37,Alice Springs,64,AU,1604180747,29,-23.7,133.88,66.46999999999997,3.6
38,Khatanga,32,RU,1604180852,87,71.97,102.5,-6.537999999999997,3.99
39,Puerto Escondido,20,MX,1604180852,62,15.85,-97.07,86.26999999999995,2.1
40,Severo-Kuril'sk,85,RU,1604180852,75,50.68,156.12,43.23200000000001,8.07
41,Basay,100,PH,1604180853,80,9.41,122.64,79.23200000000003,0.43
42,Carnarvon,90,AU,1604180853,73,-24.87,113.63,70.06999999999996,5.7
43,Hermanus,0,ZA,1604180853,82,-34.42,19.23,56.26400000000004,1.79
44,Ribeira Grande,75,PT,1604180853,94,38.52,-28.7,70.06999999999996,7.2
45,Aketi,38,CD,1604180853,96,2.74,23.78,71.29399999999998,0.6
46,Hithadhoo,100,MV,1604180853,69,-0.6,73.08,83.96600000000001,3.74
47,Viedma,0,AR,1604180853,21,-40.81,-63.0,82.27400000000002,1.34
48,Upernavik,93,GL,1604180853,95,72.79,-56.15,16.717999999999982,6.63
49,Chui,5,UY,1604180854,80,-33.7,-53.46,56.84000000000002,2.66
50,Punta Arenas,75,CL,1604180854,62,-53.15,-70.92,57.469999999999956,5.7
51,Mataura,26,NZ,1604180854,77,-46.19,168.86,55.274000000000015,7.15
52,Santa Maria,0,BR,1604180854,49,-29.68,-53.81,71.86999999999996,5.7
53,Morondava,61,MG,1604180854,77,-20.28,44.28,77.70199999999997,4.57
54,Provideniya,55,RU,1604180854,88,64.38,-173.3,22.585999999999967,2.55
55,Nikolskoye,26,RU,1604180854,86,59.7,30.79,35.27599999999999,1.41
56,Pochutla,20,MX,1604180854,62,15.74,-96.47,88.06999999999996,4.1
57,Jamestown,1,US,1604180854,56,42.1,-79.24,43.26799999999999,5.1
58,Latacunga,75,EC,1604180854,42,-0.93,-78.62,64.66999999999996,5.7
59,Bubaque,65,GW,1604180854,69,11.28,-15.83,84.52400000000002,3.63
60,Meulaboh,100,ID,1604180854,82,4.14,96.13,78.38599999999997,1.71
61,Esim,51,GH,1604180855,88,4.87,-2.24,78.76400000000004,2.72
62,Longyearbyen,75,SJ,1604180855,73,78.22,15.64,25.069999999999958,3.6
63,Tiksi,98,RU,1604180855,92,71.69,128.87,2.6779999999999617,2.44
64,Benguela,91,AO,1604180855,80,-12.58,13.41,78.13399999999999,2.04
65,Kashgar,0,CN,1604180855,27,39.45,75.98,41.26999999999996,5.0
66,Norman Wells,20,CA,1604180856,77,65.28,-126.83,3.46999999999996,3.1
67,Raudeberg,75,NO,1604180797,47,61.99,5.14,57.469999999999956,11.8
68,Bethel,1,US,1604180856,41,41.37,-73.41,43.06999999999996,2.6
69,Lüderitz,21,NA,1604180856,44,-26.65,15.16,65.80399999999995,9.56
70,Ţahţā,0,EG,1604180856,69,26.77,31.5,73.66999999999996,7.2
71,Haines Junction,100,CA,1604180856,85,60.75,-137.51,12.46999999999996,1.5
72,Pangnirtung,100,CA,1604180856,79,66.15,-65.71,13.298000000000023,2.31
73,Kavieng,3,PG,1604180856,73,-2.57,150.8,84.91999999999996,4.79
74,Cape Town,0,ZA,1604180218,55,-33.93,18.42,61.26799999999999,6.2
